major_category	trait_category	trait	n_qtl_rows	chrom_values	example_qtl_names	example_references	evidence_tier	notes
Resistance or Tolerance	Other soil stress tolerance	root length ratio	1	8	qALRR-8	Nguyen, V.T., Nguyen, B.D., Sarkarung, S., Martinez, C., Paterson, A.H., and Nguyen, H.T. (2002). Mapping of genes controlling aluminum tolerance in rice: comparison of different genetic backgrounds. Mol Genet Genomics 267, 772-780.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	root to shoot ratio (Water deficit)	1	5	qRSd5	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	shoot fresh weight (Water deficit)	1	6	qSFWd6	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	shoot fresh weight (Well watered)	1	1	qSFWw1-1	Cui, K., Huang, J., Xing, Y., Yu, S., Xu, C., and Peng, S. (2008). Mapping QTLs for seedling characteristics under different water supply conditions in rice (Oryza sativa). Physiol Plant 132, 53-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	stress root length	1	9	qALSRL-9	Nguyen, V.T., Nguyen, B.D., Sarkarung, S., Martinez, C., Paterson, A.H., and Nguyen, H.T. (2002). Mapping of genes controlling aluminum tolerance in rice: comparison of different genetic backgrounds. Mol Genet Genomics 267, 772-780.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	stress root length (SRL)	1	1		Mao, C.Z., Yang, L., Zheng, B.S., Wu, Y.R., Liu, F.Y., Yi, K.K., and Wu, P. (2004). Comparative mapping of QTLs for Al tolerance in rice and identification of positional Al-induced genes. J Zhejiang Univ Sci 5, 634-643.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	tolerance index to Fe 2+ toxicity	1	1		Wu, P., Luo, A., Zhu, J., Yang, J., Huang, N., and Senadhira, D. (1997). Molecular markers linked to genes underlying seedling tolerance for ferrous iron toxicity. Plant and Soil 196, 317-320.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other soil stress tolerance	tolerance to ferrous iron toxicity	1	3		Wan, J.L., Zhai, H.Q., Wan, J.M., Yasui, H., and Yoshimura, A. (2003). Detection and analysis of QTLs for some traits associated with tolerance to ferrous iron toxicity in rice (Oryza sativa L.), using recombinant inbred lines. Rice Genetics Newsletter 20, 55-57.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other stress resistance	White-back kernels	1	3		Kobayashi, A., Genliang, B., Shenghai, Y., and Tomita, K. (2007). Detection of Quantitative Trait Loci for White-back and Basal-white Kernels under High Temperature Stress in japonica Rice Varieties. Breeding Science 57, 107-116.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other stress resistance	low-temperature germinability	1	3	qLTG3-1,	Fujino, K., Sekiguchi, H., Matsuda, Y., Sugimoto, K., Ono, K., and Yano, M. (2008). Molecular identification of a major quantitative trait locus, qLTG3-1, controlling low-temperature germinability in rice. Proc Natl Acad Sci U S A 105, 12623-12628.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other stress resistance	one-thousand kernel weight	1	3		Wan, J., Ikehashi, H., Sakai, M., Horisue, H., and Imbe, T. (1998). Mapping of hybrid sterility gene S17 of rice (Oryza sativa L.) by isozyme and RFLP markers. Rice Genetics Newsletter 15, 151-154.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other stress resistance	relative chlorophyll content of leaf blade	1	10		Sato, T., Ueda, T., Fukuta, Y., Kumagai, T., and Yano, M. (2003). Mapping of quantitative trait loci associated with ultraviolet-B resistance in rice (Oryza sativa L.). Theor Appl Genet 107, 1003-1008.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other stress resistance	relative fresh weight	1	10		Sato, T., Ueda, T., Fukuta, Y., Kumagai, T., and Yano, M. (2003). Mapping of quantitative trait loci associated with ultraviolet-B resistance in rice (Oryza sativa L.). Theor Appl Genet 107, 1003-1008.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other stress resistance	relative root length	1	8	QalRr8.1	Nguyen, B.D., Brar, D.S., Bui, B.C., Nguyen, T.V., Pham, L.N., and Nguyen, H.T. (2003). Identification and mapping of the QTL for aluminum tolerance introgressed from the new source, Oryza Rufipogon Griff., into indica rice (Oryza sativa L.). Theor Appl Genet 106, 583-593.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other stress resistance	stress root length	1	8	QalSr8.1	Nguyen, B.D., Brar, D.S., Bui, B.C., Nguyen, T.V., Pham, L.N., and Nguyen, H.T. (2003). Identification and mapping of the QTL for aluminum tolerance introgressed from the new source, Oryza Rufipogon Griff., into indica rice (Oryza sativa L.). Theor Appl Genet 106, 583-593.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other stress resistance	tolerance to disturbance trampling tolerance	1	7	qTRA7	Onishi, K., Horiuchi, Y., Ishigoh-Oka, N., Takagi, K., Ichikawa, N., Maruoka, M., and Sano, Y. (2007). A QTL Cluster for Plant Architecture and Its Ecological Significance in Asian Wild Rice. Breeding Science 57, 7-16.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other stress resistance	ultraviolet-B (UVB) resistance	1	10	qUVR-10	Ueda, T., Sato, T., Numa, H., and Yano, M. (2004). Delimitation of the chromosomal region for a quantitative trait locus, qUVR- 10, conferring resistance to ultraviolet-B radiation in rice (Oryza sativa L.). Theor Appl Genet 108, 385-391.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Salinity tolerance	K+1 concentration	1	1		Koyama, M.L., Levesley, A., Koebner, R.M.D., Flowers, T.J., and Yeo, A.R. (2001). Quantitative Trait Loci for Component Physiological Traits Determining Salt Tolerance in Rice. Plant Physiology 125, 406-422.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Salinity tolerance	Na+ uptake	1	1		Koyama, M.L., Levesley, A., Koebner, R.M.D., Flowers, T.J., and Yeo, A.R. (2001). Quantitative Trait Loci for Component Physiological Traits Determining Salt Tolerance in Rice. Plant Physiology 125, 406-422.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Salinity tolerance	Na+:K+1 ratio	1	1		Koyama, M.L., Levesley, A., Koebner, R.M.D., Flowers, T.J., and Yeo, A.R. (2001). Quantitative Trait Loci for Component Physiological Traits Determining Salt Tolerance in Rice. Plant Physiology 125, 406-422.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Salinity tolerance	Shoot Na+ concentration	1	7	qSNC-7	Lin, H.X., Zhu, M.Z., Yano, M., Gao, J.P., Liang, Z.W., Su, W.A., Hu, X.H., Ren, Z.H., and Chao, D.Y. (2004). QTLs for Na+ and K+ uptake of the shoots and roots controlling rice salt tolerance. Theor Appl Genet 108, 253-260.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Salinity tolerance	The average for survival days	1	6		Lin, H.X., Yanagihara, S., Zhuang, J.Y., Senboku, T., Zheng, K.L., and Yashima, S. (1998). Identification of QTL for salt tolerance in rice via molecular markers. . Chin. J. Rice Sci. 12, 72-78	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Sheath blight resistance	Sheath blight response	1	3	qSBR-3	Kunihiro, Y., Qian, Q., Sato, H., Teng, S., Zeng, D.L., Fujimoto, K., and Zhu, L.H. (2002). QTL analysis of sheath blight resistance in rice (Oryza sativa L.). Yi Chuan Xue Bao 29, 50-55.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Sheath blight resistance	Sheath blight response ratings	1	9	qSB-9	Han, Y.P., Xing, Y.Z., Chen, Z.X., Gu, S.L., Pan, X.B., Chen, X.L., and Zhang, Q.F. (2002). Mapping QTLs for horizontal resistance to sheath blight in an elite rice restorer line, Minghui 63. Yi Chuan Xue Bao 29, 622-626.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Sheath blight resistance	resistance to sheath blight (SB) disease	1	2	qSB-2	Pinson, S.R.M., Capdevielle, F.M., and Oard, J.H. (2005). Confirming QTLs and Finding Additional Loci Conditioning Sheath Blight Resistance in Rice Using Recombinant Inbred Lines. Crop Sci. 45, 503-510.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Sheath blight resistance	sheath blight response ratings (SBRs)	1	3	QSbr3a	Li, Z., Pinson, S.R.M., Marchetti, M.A., Stansel, J.W., and Park, W.D. (1995). Characterization of quantitative trait loci (QTLs) in cultivated rice contributing to field resistance to sheath blight (Rhizoctonia solani). TAG Theoretical and Applied Genetics 91, 382-388.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	Elongated internode number	1	12	qNEI12	Hattori, Y., Ashikari, M., Kitano, H., and Matsuoka, M. (2005). Detection QTLs for deepwater rice ability. Rice Genetics Newsletter 22, 71-.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	Leaf senescence	1	9		Toojinda, T., Siangliw, M., Tragoonrung, S., and Vanavichit, A. (2003). Molecular Genetics of Submergence Tolerance in Rice: QTL Analysis of Key Traits. Ann. Bot. 91, 243-253.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	Number of elongated internodes	1	12	qNEI12	Hattori, Y., Nagai, K., Mori, H., Kitano, H., Matsuoka, M., and Ashikari, M. (2008). Mapping of three QTLs that regulate internode elongation in deepwater rice. Breeding Science 58, 39-46.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	Relative shoot elongation	1	11		Toojinda, T., Siangliw, M., Tragoonrung, S., and Vanavichit, A. (2003). Molecular Genetics of Submergence Tolerance in Rice: QTL Analysis of Key Traits. Ann. Bot. 91, 243-253.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	Tolerance score	1	9		Toojinda, T., Siangliw, M., Tragoonrung, S., and Vanavichit, A. (2003). Molecular Genetics of Submergence Tolerance in Rice: QTL Analysis of Key Traits. Ann. Bot. 91, 243-253.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	Total internode elongation length	1	12	qTIL12	Hattori, Y., Nagai, K., Mori, H., Kitano, H., Matsuoka, M., and Ashikari, M. (2008). Mapping of three QTLs that regulate internode elongation in deepwater rice. Breeding Science 58, 39-46.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	Total internode length	1	12	qTIL12	Hattori, Y., Ashikari, M., Kitano, H., and Matsuoka, M. (2005). Detection QTLs for deepwater rice ability. Rice Genetics Newsletter 22, 71-.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	Total shoot elongation	1	9		Toojinda, T., Siangliw, M., Tragoonrung, S., and Vanavichit, A. (2003). Molecular Genetics of Submergence Tolerance in Rice: QTL Analysis of Key Traits. Ann. Bot. 91, 243-253.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	early elongation ability using the lowest elongated internode (LEI) concept	1	12		Nemoto, K., Ukai, Y., Tang, D.Q., Kasai, Y., and Morita, M. (2004). Inheritance of early elongation ability in floating rice revealed by diallel and QTL analyses. Theor Appl Genet 109, 42-47.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	initial plant height	1	1	QPh1b	Sripongpangkul, K., Posa, G.B.T., Senadhira, D.W., Brar, D., Huang, N., Khush, G.S., and Li, Z.K. (2000). Genes/QTLs affecting flood tolerance in rice. TAG Theoretical and Applied Genetics 101, 1074-1081.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	lowest elongated internode	1	12		Tang, D.-Q., Kasai, Y., Miyamoto, N., Ukai, Y., and Nemoto, K. (2005). Comparison of QTLs for Early Elongation Ability between Two Floating Rice Cultivars with a Different Phylogenetic Origin. Breeding Science 55, 1-5.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	percent plant survival	1	9		Toojinda, T., Siangliw, M., Tragoonrung, S., and Vanavichit, A. (2003). Molecular Genetics of Submergence Tolerance in Rice: QTL Analysis of Key Traits. Ann. Bot. 91, 243-253.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	position of the lowest elongated internode	1	12	qLEI 4	Kawano, R., Mochizuki, T., Yasui, H., Doi, K., and Yoshimura, A. (2003). QTL analysis for floating ability in rice. Rice Genetics Newsletter 20, 74-77.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	rate of internodal elongation	1	1	qRIE 1	Kawano, R., Mochizuki, T., Yasui, H., Doi, K., and Yoshimura, A. (2003). QTL analysis for floating ability in rice. Rice Genetics Newsletter 20, 74-77.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	score of submergence tolerance	1	9	Sub1	Xu, K., Xu, X., Ronald, P.C., and Mackill, D.J. (2000). A high-resolution linkage map of the vicinity of the rice submergence tolerance locus Sub1. Mol Gen Genet 263, 681-689.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	submergence tolerance	1	9	Sub-1(t)	Xu, K., and Mackill, D.J. (1995). RAPD and RFLP mapping of a submergence tolerance locus in rice. Rice Genetics Newsletter 12, 244-245.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
